,SPY,NDAQ,MU,BBY,PVH,KO,AEE,TDY,MO
183,335.8399963378906,124.44000244140624,50.97999954223633,105.62999725341795,70.51000213623047,50.54999923706055,77.62000274658203,324.6600036621094,40.86000061035156
184,330.6499938964844,122.4499969482422,50.7400016784668,105.58000183105467,68.4800033569336,50.45000076293945,76.86000061035156,325.07000732421875,39.84000015258789
185,326.9700012207031,122.0500030517578,49.150001525878906,105.97000122070312,64.68000030517578,49.09000015258789,76.62000274658203,312.5899963378906,38.81999969482422
186,330.29998779296875,123.31999969482422,49.70000076293945,107.62999725341795,64.36000061035156,49.65999984741211,77.05999755859375,316.82000732421875,38.54999923706055
187,322.6400146484375,119.7300033569336,49.84999847412109,106.48999786376952,62.08000183105469,48.209999084472656,75.61000061035156,309.1099853515625,37.93000030517578
188,323.5,121.3000030517578,49.470001220703125,104.7699966430664,61.880001068115234,48.70000076293945,76.69999694824219,309.4200134277344,38.33000183105469
189,328.7300109863281,124.02999877929688,49.13999938964844,105.97000122070312,61.5,48.720001220703125,78.20999908447266,311.9800109863281,38.27000045776367
190,334.19000244140625,125.37000274658205,49.720001220703125,108.44000244140624,61.88999938964844,49.27999877929688,78.41999816894531,315.3900146484375,38.95000076293945
191,332.3699951171875,121.37999725341795,50.709999084472656,110.08000183105467,58.68999862670898,48.91999816894531,79.0199966430664,311.94000244140625,38.36000061035156
192,334.8900146484375,122.70999908447266,46.959999084472656,111.29000091552734,59.63999938964844,49.369998931884766,79.08000183105469,310.2099914550781,38.63999938964844
193,337.0400085449219,123.91999816894533,47.91999816894531,114.08999633789062,60.59000015258789,49.18000030517578,79.86000061035156,307.75,38.91999816894531
194,333.8399963378906,123.54000091552734,46.54999923706055,112.41999816894533,62.119998931884766,49.36000061035156,79.80999755859375,309.8099975585937,38.970001220703125
195,339.760009765625,124.87000274658205,47.59999847412109,116.06999969482422,63.790000915527344,49.380001068115234,80.72000122070312,315.5199890136719,39.5
196,334.92999267578125,123.56999969482422,47.31999969482422,112.4499969482422,61.63999938964844,48.93999862670898,81.30000305175781,314.8699951171875,39.59999847412109
197,340.760009765625,122.9800033569336,48.40999984741211,114.48999786376952,64.44000244140625,49.560001373291016,80.69000244140625,317.8699951171875,40.52999877929688
198,343.7799987792969,124.5999984741211,49.900001525878906,114.91999816894533,67.61000061035156,50.459999084472656,81.7300033569336,325.5,40.380001068115234
199,346.8500061035156,125.05999755859376,49.88999938964844,116.58999633789062,66.12999725341797,50.810001373291016,82.05000305175781,325.1400146484375,40.68999862670898
200,352.42999267578125,126.37999725341795,50.68000030517578,118.33000183105467,65.58999633789062,51.09000015258789,82.54000091552734,327.5299987792969,40.45000076293945
201,350.1300048828125,126.37999725341795,51.84999847412109,118.20999908447266,62.540000915527344,50.220001220703125,81.1500015258789,320.0199890136719,39.380001068115234
202,347.92999267578125,127.6500015258789,51.630001068115234,118.44000244140624,62.209999084472656,50.119998931884766,81.3499984741211,322.9599914550781,39.54999923706055
203,347.5,128.41000366210938,51.93999862670898,120.55999755859376,63.86000061035156,49.9900016784668,81.1500015258789,327.6700134277344,39.70000076293945
204,347.2900085449219,128.8699951171875,51.61000061035156,119.3499984741211,62.15999984741211,50.02999877929688,82.38999938964844,333.20001220703125,39.52999877929688
205,342.010009765625,127.4800033569336,52.630001068115234,120.83000183105467,62.04999923706055,49.619998931884766,81.63999938964844,334.29998779296875,39.18000030517578
206,343.3800048828125,128.99000549316406,53.52999877929688,120.88999938964844,61.59000015258789,50.25,82.13999938964844,339.4599914550781,38.70000076293945
207,342.7300109863281,132.3699951171875,53.310001373291016,118.69000244140624,61.41999816894531,49.9900016784668,82.29000091552734,328.6000061035156,38.5099983215332
208,344.6099853515625,130.08999633789062,54.380001068115234,117.45999908447266,64.9800033569336,50.68000030517578,83.02999877929688,336.8399963378906,38.9900016784668
209,345.7799987792969,129.1199951171875,52.84999847412109,118.20999908447266,64.94000244140625,50.52000045776367,83.38999938964844,340.4599914550781,39.08000183105469
210,339.3900146484375,127.37999725341795,52.13999938964844,114.36000061035156,62.27999877929688,49.79999923706055,84.05999755859375,326.69000244140625,38.56999969482422
211,338.2200012207031,125.0999984741211,51.959999084472656,113.58000183105467,60.9900016784668,49.900001525878906,84.19000244140625,315.6700134277344,37.16999816894531
212,326.6600036621094,121.7300033569336,50.0,111.11000061035156,58.5099983215332,47.959999084472656,81.37000274658203,306.95001220703125,36.720001220703125
213,329.9800109863281,122.01000213623048,50.47999954223633,112.27999877929688,61.119998931884766,48.02000045776367,81.33999633789062,309.3599853515625,36.869998931884766
214,326.5400085449219,120.98999786376952,50.34000015258789,111.5500030517578,58.290000915527344,48.060001373291016,81.12000274658203,309.1499938964844,36.08000183105469
215,330.20001220703125,123.18000030517578,49.709999084472656,115.72000122070312,59.77000045776367,48.619998931884766,83.20999908447266,313.3800048828125,36.47999954223633
216,336.0299987792969,124.91000366210938,51.08000183105469,118.81999969482422,63.20000076293945,49.34999847412109,84.31999969482422,326.9800109863281,37.38999938964844
217,343.5400085449219,129.3000030517578,51.959999084472656,119.86000061035156,61.08000183105469,49.16999816894531,83.44999694824219,331.82000732421875,38.08000183105469
218,350.239990234375,133.2100067138672,54.58000183105469,123.05999755859376,62.43999862670898,49.43999862670898,82.47000122070312,336.2099914550781,37.310001373291016
219,350.1600036621094,133.1999969482422,55.15999984741211,123.05999755859376,59.09999847412109,49.45000076293945,81.8499984741211,336.8299865722656,37.27000045776367
220,354.5599975585937,129.67999267578125,55.959999084472656,111.0,70.83999633789062,52.56999969482422,83.04000091552734,364.1199951171875,38.16999816894531
221,354.0400085449219,127.12999725341795,55.40999984741211,112.62999725341795,71.9000015258789,53.97999954223633,82.45999908447266,369.7200012207031,39.59000015258789
222,356.6700134277344,129.7899932861328,56.36000061035156,114.55999755859376,67.63999938964844,53.58000183105469,82.37000274658203,367.25,39.7599983215332
223,353.2099914550781,126.8499984741211,56.25,114.0,65.37000274658203,53.0099983215332,81.33999633789062,366.7900085449219,39.5
224,358.1000061035156,125.81999969482422,57.93000030517578,114.3000030517578,70.08999633789062,53.45000076293945,82.12000274658203,379.30999755859375,40.33000183105469
225,362.5700073242188,125.52999877929688,61.86000061035156,118.6500015258789,75.5199966430664,53.84999847412109,84.33000183105469,390.8800048828125,41.47999954223633
